300/150
Using 1 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
 600       87.97           3692.45            11367.58       16105.03       95.35
 650       81.21           3903.49            12313.42       17400.30       95.68
 700       75.30           4108.76            13280.03       18840.20       95.96
 750       70.23           4309.67            14238.88       19908.88       96.21
 800       65.73           4505.32            15213.91       21289.48       96.42
 850       62.01           4696.81            16125.72       22627.31       96.57
 900       58.38           4886.27            17129.90       24007.03       96.75
 950       55.12           5072.05            18142.02       25313.88       96.92
1000       52.23           5254.98            19145.49       26692.99       97.08

Using 16 threads to search
  Ls         QPS     Avg dist cmps  Mean Latency (mus)   99.9 Latency   Recall@10
=================================================================================
  10    36907.57            242.19              430.28        1690.38       44.66
  20    22903.96            360.53              696.45        1692.48       55.82
  30    16680.92            464.28              956.86        2067.80       62.20
  40    13052.84            561.45             1223.38        2672.89       67.05
  50    10751.42            652.64             1485.61        3146.24       70.65
  60     9042.28            738.48             1766.78        3602.25       73.51
  70     7882.19            820.36             2026.54        4212.04       75.76
  80     7011.43            899.96             2278.66        4636.10       77.72
  90     6309.44            976.61             2533.06        5240.84       79.28
 100     5737.65           1051.99             2785.13        5589.19       80.84
 150     3947.46           1398.79             4049.11        7355.42       85.53
 200     3003.47           1712.80             5322.08        9255.00       88.42
 250     2411.57           2003.60             6628.27       11243.20       90.23
 300     2019.22           2278.55             7916.56       12998.85       91.67
 350     1733.39           2537.14             9221.76       14993.87       92.62
 400     1511.50           2785.23            10576.35       17761.29       93.36
 450     1345.10           3023.52            11884.38       19247.28       94.02
 500     1212.64           3252.56            13182.82       21256.57       94.53
 550     1104.00           3475.49            14478.26       23297.03       94.95
 600     1010.22           3692.45            15823.56       25382.16       95.35
 650      930.56           3903.49            17177.88       27115.22       95.68
 700      863.34           4108.76            18517.76       29196.58       95.96
 750      803.19           4309.67            19901.85       31661.28       96.21
 800      752.14           4505.32            21257.05       33045.53       96.42
 850      703.93           4696.81            22707.65       35568.64       96.57
 900      663.66           4886.27            24091.62       38281.73       96.75
 950      628.63           5072.05            25431.74       39818.24       96.92
1000      595.87           5254.98            26832.24       41005.55       97.08
